2026-02-19 | 09:45:03.845 | MainProcess | MainThread | DEBUG | enna_kwd_testing.utilities.stimulation_factory_generator.dependency_finder:26 | [{'step': '1.0', 'name': 'SET_CLAMP_15', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.vehicle.simulation.SwitchClamp15', 'values': {'STATE': 'true'}}, {'step': '2.0', 'name': 'SET_CLAMP_S', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.vehicle.simulation.SwitchClampS', 'values': {'STATE': 'true'}}, {'step': '3.0', 'name': 'NAVIGATE_TO_SCREEN', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.general.NavigateToScreen', 'values': {'SCREEN_NAME': 'legal.about_us'}}, {'step': '4.0', 'name': 'CLICK', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.general.ClickOnElement', 'values': {'XPATH_NAME': 'launcher.APP_GRID_BUTTON'}}, {'step': '5.0', 'name': 'SET_UP_MOBILE_DATA', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.privacy.SetMobileData', 'values': {'STATE': False}}, {'step': '6.0', 'name': 'WAIT_TIME_IN_MS', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.actions.basic.times.WaitTimeInMs', 'values': {'TIME': 3000}}, {'step': '7.0', 'name': 'CLICK', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.general.ClickOnElement', 'values': {'XPATH_NAME': 'launcher.APP_GRID_BUTTON'}}, {'step': '8.0', 'name': 'CLICK_ELEMENT_IN_LIST', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.general.ClickElementInList', 'values': {'ELEMENT': 'ICON', 'XPATH_NAME': 'e4d9_legal_ag'}}, {'step': '9.0', 'name': 'WAIT_TIME_IN_MS', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.actions.basic.times.WaitTimeInMs', 'values': {'TIME': 3000}}, {'step': '10.0', 'name': 'CHECK_SCREEN_IS_VISIBLE', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.general.CheckScreenIsVisible', 'values': {'SCREEN_NAME': 'legal.privacy_mode_info', 'TIMEOUT': 4.0}}]
2026-02-19 | 09:45:03.845 | MainProcess | MainThread | DEBUG | enna_kwd_testing.utilities.stimulation_factory_generator.dependency_finder:36 | [{'step': '1.0', 'name': 'SET_UP_MOBILE_DATA', 'relation': '==', 'automation': 'enna_kwd_testing.stimulations.apps.privacy.SetMobileData', 'values': {'STATE': True}}]
2026-02-19 | 09:45:03.915 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner:189 | Will start campaign runner in MainProcess with PID 22996
2026-02-19 | 09:45:03.917 | MainProcess | MainThread | DEBUG | enna.core.logger:171 | Folder created: reports\2026-02-19_09-45-03_logs
2026-02-19 | 09:45:03.917 | MainProcess | MainThread | DEBUG | enna.core.logger:302 | LOG_PATH: C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\reports\2026-02-19_09-45-03_logs\ENNA_2026-02-19_09-45-03_CAMPAIGN_RUNNER.log
2026-02-19 | 09:45:03.941 | MainProcess | MainThread | INFO | enna.core.watchdog:269 | Internal watchdog started
2026-02-19 | 09:45:03.942 | MainProcess | MainThread | INFO | enna.core.watchdog:179 | External watchdog started. Make sure ENNA is started as admin to receive full coverage
2026-02-19 | 09:45:04.113 | MainProcess | MainThread | INFO | enna.core.watchdog:111 | Broker watchdog started monitoring.
2026-02-19 | 09:45:04.178 | MainProcess | MainThread | INFO | enna.core.campaign_runner.server:368 | Campaign state has changed from IDLE -> STARTING
2026-02-19 | 09:45:04.207 | MainProcess | MainThread | INFO | enna.core.campaign_runner.server:570 | Setting up campaign: keyword_driven_testing
2026-02-19 | 09:45:04.238 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:580 | Instantiating components for following stimulations:
2026-02-19 | 09:45:04.238 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:580 | DependencyFactory
2026-02-19 | 09:45:04.238 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:580 | ReportingAllPackagesAndVersions
2026-02-19 | 09:45:04.238 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:580 | Startup
2026-02-19 | 09:45:04.238 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:580 | PrepareConnectCampaign
2026-02-19 | 09:45:04.269 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:581 | Instantiating components for following passive tests:
2026-02-19 | 09:45:04.269 | MainProcess | MainThread | DEBUG | enna.core.campaign_runner.server:581 | TraceLogger
2026-02-19 | 09:45:04.298 | MainProcess | MainThread | INFO | enna.core.campaign_runner.server:582 | Creating processes
2026-02-19 | 09:45:04.439 | MainProcess | BrokerWatchdogSubscriptionThread | CRITICAL | enna.core.watchdog:145 | MQTT broker dropped 0.1 messages in average over the last minute! Event system message delivery is not guaranteed! Please check the broker configuration regarding max_inflight_messages and max_queued_messages!
2026-02-19 | 09:45:05.412 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.factories.generated_dependency_factory.DependencyFactory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\factories\generated_dependency_factory.py' with instance 'None' requires [Component(_module='enna_st12.data_interfaces.android_hmi', _interface_class='interface.Interface', instance_name='center'), Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name=None), Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.413 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.factory' for package enna_st12.data_interfaces.android_hmi
2026-02-19 | 09:45:05.415 | MainProcess | MainThread | WARNING | enna.core.interfaces.config:88 | Neither 'instance_config' nor 'use_platform_config' are set for model enna.core.interfaces.config.ComponentConfigBaseModel of enna_st12.data_interfaces.android_hmi.config! Instance configuration will be empty!
2026-02-19 | 09:45:05.416 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.proxy' for package enna_st12.data_interfaces.android_hmi
2026-02-19 | 09:45:05.417 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:667 | Register implementations for package enna_st12.data_interfaces.android_hmi: ['enna_st12.data_interfaces.android_hmi.server_uiautomator2']
2026-02-19 | 09:45:05.417 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.418 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.418 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_st12.data_interfaces.android_hmi.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna_st12\data_interfaces\android_hmi\factory.py' with instance 'center' requires [Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name='HCP3'), Component(_module='enna.core.runtime_config', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.418 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.factory' for package enna.data_interfaces.adb
2026-02-19 | 09:45:05.515 | MainProcess | MainThread | INFO | enna.core.helper:139 | urllib3 connection pool maximum size increased to 10
2026-02-19 | 09:45:05.522 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.proxy' for package enna.data_interfaces.adb
2026-02-19 | 09:45:05.523 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:667 | Register implementations for package enna.data_interfaces.adb: ['enna.data_interfaces.adb.server_adbutils']
2026-02-19 | 09:45:05.523 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance 'HCP3' requires []
2026-02-19 | 09:45:05.523 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.proxy' for package enna.core.runtime_config
2026-02-19 | 09:45:05.525 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:667 | Register implementations for package enna.core.runtime_config: ['enna.core.runtime_config.server']
2026-02-19 | 09:45:05.526 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.runtime_config.factory.generate_factory.<locals>.AutoFactory defined in 'Unknown file' with instance 'None' requires []
2026-02-19 | 09:45:05.526 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.526 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.factory' for package enna.core.reporting
2026-02-19 | 09:45:05.527 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:667 | Register implementations for package enna.core.reporting: ['enna.core.reporting.server_junit', 'enna.core.reporting.server_nunit', 'enna.core.reporting.server_multiple', 'enna.core.reporting.server_pickle', 'enna.core.reporting.server_exam']
2026-02-19 | 09:45:05.527 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.528 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.stimulations.apps.privacy.SetMobileData defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\stimulations\apps\privacy.py' with instance 'None' requires [Component(_module='enna_st12.utilities.menu_navigation', _interface_class='interface.Interface', instance_name='center'), Component(_module='enna_st12.data_interfaces.android_hmi', _interface_class='interface.Interface', instance_name='center'), Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.528 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.factory' for package enna_st12.utilities.menu_navigation
2026-02-19 | 09:45:05.529 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:656 | Autoimport module '.proxy' for package enna_st12.utilities.menu_navigation
2026-02-19 | 09:45:05.530 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:667 | Register implementations for package enna_st12.utilities.menu_navigation: ['enna_st12.utilities.menu_navigation.server_touch', 'enna_st12.utilities.menu_navigation.server_android']
2026-02-19 | 09:45:05.531 | MainProcess | MainThread | INFO | enna.core.config:194 | Using multiple instance configurations ([WindowsPath('C:/Users/glm0ubu/VisualStudioCodeProjects/ENNA_KWD_TESTING-1/enna_kwd_testing/config/enna_st12/utilities/menu_navigation/instance_configs/default.json'), WindowsPath('C:/Users/glm0ubu/VisualStudioCodeProjects/enna_kwd_testing/config_dev/enna_st12/utilities/menu_navigation/instance_configs/default.json')]), merging them
2026-02-19 | 09:45:05.532 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_st12.utilities.menu_navigation.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna_st12\utilities\menu_navigation\factory.py' with instance 'center' requires [Component(_module='enna_st12.data_interfaces.android_hmi', _interface_class='interface.Interface', instance_name='__factory__'), Component(_module='enna.core.runtime_config', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.532 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:256 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.532 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:256 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.532 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_st12.data_interfaces.android_hmi.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna_st12\data_interfaces\android_hmi\factory.py' with instance '__factory__' requires [Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name='__factory__'), Component(_module='enna.core.runtime_config', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.532 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance '__factory__' requires []
2026-02-19 | 09:45:05.533 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.runtime_config.factory.generate_factory.<locals>.AutoFactory defined in 'Unknown file' with instance 'None' requires []
2026-02-19 | 09:45:05.533 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.runtime_config.factory.generate_factory.<locals>.AutoFactory defined in 'Unknown file' with instance 'None' requires []
2026-02-19 | 09:45:05.533 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.533 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.533 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_st12.data_interfaces.android_hmi.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna_st12\data_interfaces\android_hmi\factory.py' with instance 'center' requires [Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name='HCP3'), Component(_module='enna.core.runtime_config', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.534 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance 'HCP3' requires []
2026-02-19 | 09:45:05.534 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.runtime_config.factory.generate_factory.<locals>.AutoFactory defined in 'Unknown file' with instance 'None' requires []
2026-02-19 | 09:45:05.534 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.534 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.stimulations.adb.general.ReportingAllPackagesAndVersions defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\stimulations\adb\general.py' with instance 'None' requires [Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name=None), Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.stimulations.apps.general.ClickElementInList defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\stimulations\apps\general.py' with instance 'None' requires [Component(_module='enna_st12.data_interfaces.android_hmi', _interface_class='interface.Interface', instance_name='center'), Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | INFO | enna.core.interfaces.factory:227 | No instance configuration for component 'enna_st12.data_interfaces.android_hmi' found, using specified default server implementation 'server_uiautomator2'
2026-02-19 | 09:45:05.535 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_st12.data_interfaces.android_hmi.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna_st12\data_interfaces\android_hmi\factory.py' with instance 'center' requires [Component(_module='enna.data_interfaces.adb', _interface_class='interface.Interface', instance_name='HCP3'), Component(_module='enna.core.runtime_config', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.data_interfaces.adb.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\data_interfaces\adb\factory.py' with instance 'HCP3' requires []
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.runtime_config.factory.generate_factory.<locals>.AutoFactory defined in 'Unknown file' with instance 'None' requires []
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.macros.testbench_preparations.Startup defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\macros\testbench_preparations.py' with instance 'None' requires [Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.536 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.stimulations.actions.android_hmi.no_interaction.NoInteraction defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\stimulations\actions\android_hmi\no_interaction.py' with instance 'None' requires [Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.537 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
2026-02-19 | 09:45:05.537 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna_kwd_testing.macros.testbench_preparations.PrepareConnectCampaign defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\enna_kwd_testing\enna_kwd_testing\macros\testbench_preparations.py' with instance 'None' requires [Component(_module='enna.core.reporting', _interface_class='interface.Interface', instance_name=None)]
2026-02-19 | 09:45:05.537 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:551 | Component enna.core.reporting.factory.Factory defined in 'C:\Users\glm0ubu\VisualStudioCodeProjects\ENNA_KWD_TESTING-1\.venv\Lib\site-packages\enna\core\reporting\factory.py' with instance 'None' requires []
